municipio;periodo;internacoes;periodo_data;media_permanencia;dias_permanencia;obitos;taxa_mortalidade;valor_total
355210 SOCORRO;2024/Jul;280.0;2024-07-01;2.5;689.0;18.0;6.43;234257.34
355220 SOROCABA;2024/Jul;5041.0;2024-07-01;5.3;26860.0;356.0;7.06;10918473.59
355230 SUD MENNUCCI;2024/Jul;21.0;2024-07-01;3.3;70.0;0.0;0.0;10432.29
355240 SUMARE;2024/Jul;1013.0;2024-07-01;4.9;4934.0;44.0;4.34;2006334.84
355250 SUZANO;2024/Jul;711.0;2024-07-01;7.2;5084.0;34.0;4.78;815531.06
355260 TABAPUA;2024/Jul;58.0;2024-07-01;4.3;248.0;2.0;3.45;41821.2
355270 TABATINGA;2024/Jul;72.0;2024-07-01;4.0;291.0;5.0;6.94;53618.49
355280 TABOAO DA SERRA;2024/Jul;1916.0;2024-07-01;4.5;8646.0;90.0;4.7;3365186.03
355300 TAGUAI;2024/Jul;53.0;2024-07-01;3.0;157.0;1.0;1.89;27877.84
355330 TAMBAU;2024/Jul;106.0;2024-07-01;2.7;283.0;7.0;6.6;47238.72
355340 TANABI;2024/Jul;112.0;2024-07-01;7.9;888.0;2.0;1.79;77072.38
355360 TAPIRATIBA;2024/Jul;28.0;2024-07-01;2.9;80.0;2.0;7.14;15680.22
355370 TAQUARITINGA;2024/Jul;405.0;2024-07-01;3.6;1443.0;19.0;4.69;268170.02
355380 TAQUARITUBA;2024/Jul;187.0;2024-07-01;3.1;578.0;4.0;2.14;71601.49
355400 TATUI;2024/Jul;439.0;2024-07-01;4.3;1866.0;27.0;6.15;409565.03
355410 TAUBATE;2024/Jul;1921.0;2024-07-01;3.9;7457.0;100.0;5.21;4224392.11
355430 TEODORO SAMPAIO;2024/Jul;73.0;2024-07-01;3.4;249.0;4.0;5.48;26991.71
355440 TERRA ROXA;2024/Jul;3.0;2024-07-01;3.0;9.0;0.0;0.0;1232.22
355450 TIETE;2024/Jul;196.0;2024-07-01;2.8;539.0;8.0;4.08;98017.16
355470 TORRINHA;2024/Jul;13.0;2024-07-01;3.5;45.0;0.0;0.0;4613.63
355500 TUPA;2024/Jul;694.0;2024-07-01;4.7;3252.0;55.0;7.93;1062973.24
355510 TUPI PAULISTA;2024/Jul;80.0;2024-07-01;4.1;326.0;9.0;11.25;43145.29
355540 UBATUBA;2024/Jul;388.0;2024-07-01;3.6;1411.0;13.0;3.35;261121.26
355580 URANIA;2024/Jul;25.0;2024-07-01;4.7;118.0;1.0;4.0;9710.47
355600 URUPES;2024/Jul;35.0;2024-07-01;5.5;193.0;1.0;2.86;15902.09
355620 VALINHOS;2024/Jul;346.0;2024-07-01;5.5;1889.0;24.0;6.94;536623.49
355630 VALPARAISO;2024/Jul;63.0;2024-07-01;2.8;176.0;5.0;7.94;35172.41
355640 VARGEM GRANDE DO SUL;2024/Jul;189.0;2024-07-01;3.8;713.0;11.0;5.82;90360.4
355650 VARZEA PAULISTA;2024/Jul;102.0;2024-07-01;4.0;413.0;7.0;6.86;35347.69
355670 VINHEDO;2024/Jul;530.0;2024-07-01;3.0;1606.0;24.0;4.53;433209.46
355680 VIRADOURO;2024/Jul;31.0;2024-07-01;2.9;91.0;1.0;3.23;14057.24
355700 VOTORANTIM;2024/Jul;463.0;2024-07-01;3.0;1369.0;27.0;5.83;358619.81
355710 VOTUPORANGA;2024/Jul;876.0;2024-07-01;4.0;3527.0;60.0;6.85;1721484.77
355720 CHAVANTES;2024/Jul;59.0;2024-07-01;2.5;147.0;7.0;11.86;24999.41
350010 ADAMANTINA;2024/Ago;467.0;2024-08-01;9.6;4496.0;28.0;6.0;748153.45
350030 AGUAI;2024/Ago;35.0;2024-08-01;5.2;182.0;1.0;2.86;14895.46
350050 AGUAS DE LINDOIA;2024/Ago;118.0;2024-08-01;3.5;411.0;15.0;12.71;50886.01
350070 AGUDOS;2024/Ago;108.0;2024-08-01;1.8;197.0;0.0;0.0;49749.52
350100 ALTINOPOLIS;2024/Ago;195.0;2024-08-01;1.5;296.0;6.0;3.08;108394.56
350110 ALTO ALEGRE;2024/Ago;0.0;2024-08-01;0.0;0.0;0.0;0.0;0.0
350130 ALVARES MACHADO;2024/Ago;68.0;2024-08-01;3.9;265.0;5.0;7.35;23777.7
350160 AMERICANA;2024/Ago;733.0;2024-08-01;5.0;3655.0;58.0;7.91;796680.59
350170 AMERICO BRASILIENSE;2024/Ago;603.0;2024-08-01;4.8;2875.0;14.0;2.32;673893.63
350190 AMPARO;2024/Ago;369.0;2024-08-01;12.8;4727.0;16.0;4.34;633786.28
350210 ANDRADINA;2024/Ago;293.0;2024-08-01;3.9;1146.0;24.0;8.19;257086.41
350220 ANGATUBA;2024/Ago;145.0;2024-08-01;4.6;667.0;14.0;9.66;64665.32
350250 APARECIDA;2024/Ago;447.0;2024-08-01;2.8;1241.0;16.0;3.58;475290.73
350260 APARECIDA D'OESTE;2024/Ago;9.0;2024-08-01;3.1;28.0;0.0;0.0;2795.22
350270 APIAI;2024/Ago;227.0;2024-08-01;3.0;671.0;10.0;4.41;136044.43
350280 ARACATUBA;2024/Ago;1114.0;2024-08-01;6.5;7212.0;93.0;8.35;3564467.15
350310 ARANDU;2024/Ago;11.0;2024-08-01;3.8;42.0;0.0;0.0;6432.89
350320 ARARAQUARA;2024/Ago;1729.0;2024-08-01;3.6;6282.0;98.0;5.67;3885707.8
350330 ARARAS;2024/Ago;488.0;2024-08-01;4.3;2085.0;33.0;6.76;1029961.1
350340 AREALVA;2024/Ago;19.0;2024-08-01;2.2;41.0;0.0;0.0;5088.13
350390 ARUJA;2024/Ago;169.0;2024-08-01;2.7;461.0;7.0;4.14;72381.72
350400 ASSIS;2024/Ago;847.0;2024-08-01;4.0;3423.0;45.0;5.31;1340570.64
350410 ATIBAIA;2024/Ago;395.0;2024-08-01;3.8;1501.0;30.0;7.59;284133.95
350420 AURIFLAMA;2024/Ago;205.0;2024-08-01;1.6;324.0;6.0;2.93;403222.67
350450 AVARE;2024/Ago;649.0;2024-08-01;4.1;2679.0;36.0;5.55;1201597.84
350520 BARIRI;2024/Ago;175.0;2024-08-01;2.3;411.0;12.0;6.86;74986.5
350530 BARRA BONITA;2024/Ago;152.0;2024-08-01;2.2;337.0;8.0;5.26;127978.87
350550 BARRETOS;2024/Ago;2736.0;2024-08-01;4.7;12752.0;199.0;7.27;7742980.2
350570 BARUERI;2024/Ago;3661.0;2024-08-01;3.3;12132.0;96.0;2.62;2895811.78
350580 BASTOS;2024/Ago;115.0;2024-08-01;1.8;203.0;1.0;0.87;42218.32
350590 BATATAIS;2024/Ago;409.0;2024-08-01;4.3;1746.0;28.0;6.85;480724.53
350600 BAURU;2024/Ago;3517.0;2024-08-01;5.6;19550.0;145.0;4.12;6448083.38
350610 BEBEDOURO;2024/Ago;616.0;2024-08-01;3.0;1827.0;28.0;4.55;674037.33
