COD_MUNICIPIO;TOTAL_ESTABELECIMENTOS;ESTABELECIMENTOS_HOSPITALARES;ESTABELECIMENTOS_SUS;LATITUDE_MEDIA;LONGITUDE_MEDIA
312470;16;1;8;-19.521700217781248;-45.78649105566875
312480;11;0;5;-18.710548562836365;-47.69628728784546
312490;44;1;12;-21.08051401258108;-42.18648997155405
312500;5;0;3;-21.54906925172;-43.509594924219996
312510;214;2;39;-22.85636337328889;-46.321367699683094
312520;13;0;5;-21.40773526130769;-45.83084533584615
312530;8;0;3;-20.801827093362498;-42.027162970775
312540;10;0;4;-18.07847770031;-43.24674683619
312550;14;0;5;-18.031790142361537;-43.35491362326154
312560;14;1;7;-16.63888681686923;-40.76046161041539
312570;49;0;10;-18.738615374918606;-44.904240568709305
312580;15;0;4;-19.153006531326664;-42.0811556755
312590;27;1;8;-19.250636168144442;-43.02733291004815
312595;18;1;11;-20.709938111633335;-42.27876539494444
312600;35;0;8;-19.889520890574286;-44.431328521357145
312610;274;3;43;-20.463244014376983;-45.42916817662566
312620;11;1;6;-14.959987358563637;-46.258178304463634
312630;7;1;4;-20.84746141432857;-46.7151070625
312640;7;0;4;-19.563154471428568;-44.44678291428572
312650;31;0;12;-16.994215308879312;-42.35749036904827
312660;11;0;6;-17.314862495436362;-44.24036690428182
312670;47;1;20;-16.4532989226375;-43.485954547685
312675;11;0;5;-17.959813024836365;-42.088789554099996
312680;12;0;5;-18.067183333333332;-41.40721083333333
312690;15;1;9;-18.561269121446667;-41.908716280060005
312695;8;0;3;-18.166176132075;-42.76536874695
312700;37;0;11;-20.28088889768;-49.20070771800286
312705;4;0;4;-16.8848585;-40.88265575
312707;11;0;7;-16.118525376690908;-42.53049707505455
312710;301;3;37;-20.018947796951064;-48.94238844477092
312720;16;0;7;-19.371066555318748;-44.05833823023125
312730;12;1;9;-18.98747085618182;-41.535848292
312733;13;0;6;-15.0747977855;-43.12017915337273
312735;10;0;2;-16.84976404191;-43.69745845906
312737;13;0;7;-18.981586869292308;-41.223547634830766
312738;12;0;4;-21.535032745325;-43.19531820594167
312740;12;0;5;-22.57082578888889;-45.74077897777778
312750;11;0;4;-18.824234421563634;-42.47916834024546
312760;30;1;12;-18.470667282268;-43.755378438252
312770;1321;11;144;-18.856358794137332;-41.951572373434686
312780;27;1;13;-16.526650423446153;-42.92298549916923
312790;6;0;5;-18.495572141816666;-47.72397079075
312800;143;1;40;-18.777314063648483;-42.9246725963447
312810;21;1;12;-20.747381848094737;-45.89616185288948
312820;19;1;11;-20.567276382352944;-43.01697324705883
312825;6;0;3;-17.01332896125;-43.67200732613333
312830;60;1;16;-21.295255024074073;-46.78171406111111
312840;24;1;11;-21.356232037517394;-43.047837328491305
312850;9;0;5;-21.72802478222222;-43.03828429503333
312860;22;1;9;-17.772677280263636;-47.10610458015
312870;351;2;44;-21.306274305322354;-46.71108251104294
312880;23;0;6;-21.150115993376193;-42.79804410422381
312890;19;0;11;-18.844834105263157;-46.794428793978945
312900;36;0;6;-20.986819489285715;-42.64087986329999
312910;15;1;7;-19.187411011241668;-49.789415837475
312920;24;0;6;-22.066389487637498;-45.54136314740833
312930;15;0;11;-19.438516521707147;-42.216509520857144
312940;18;0;11;-21.433346286735294;-43.96457031589412
312950;99;1;13;-19.482580548471578;-46.54207385335474
312960;18;0;12;-16.843777112766666;-44.87559187873889
312965;10;0;7;-15.66761349654;-44.16536782752
312970;29;1;12;-20.441961038704;-47.196180649792
312980;113;1;45;-20.013787440378763;-44.06839005027876
312990;13;0;7;-22.061207771630002;-46.439964808010004
313000;5;0;2;-21.15445938396;-44.74871589348
313005;16;0;7;-16.213568787013333;-44.90635186609334
313010;100;1;35;-20.068532211764836;-44.30490565795165
313020;17;0;11;-19.93588524682941;-44.71395464518824
313030;22;1;7;-20.194853104463157;-45.653579399499996
313040;19;0;7;-21.17176063426842;-44.923965939431575
313050;36;1;12;-20.92073679053429;-45.80627711174286
313055;11;0;6;-19.59695090909091;-42.060624463636366
313060;13;0;6;-22.310033405584615;-46.320777287869234
313065;17;0;7;-15.486554868135295;-42.174678747535296
313070;9;0;7;-19.01217978221111;-47.88391071284445
313080;5;0;4;-21.4036379532;-44.92203140261999
313090;72;1;26;-19.539373665073846;-42.10745265137692
313100;10;0;4;-19.491284200000003;-44.387300800000006
313110;11;0;6;-18.73252622;-44.36180442
313115;27;0;16;-19.42425366819231;-42.41551300789615
313120;59;2;13;-19.807586393290908;-41.72897309082364
313130;1121;6;72;-19.4806796043375;-42.55064268361489
313140;10;0;4;-18.692407573009998;-49.94469065848
313150;33;0;13;-22.098740182465626;-46.19145510634687
313160;10;0;6;-18.99616017333;-47.45943682249
313170;842;4;89;-19.624067318688674;-43.22694256011778
313180;25;1;12;-18.556675044325;-41.242366404820835
313190;182;1;19;-20.252072839250857;-43.804013508673144
313200;11;0;3;-17.020430624390908;-43.29897154964545
313210;35;1;20;-15.119660400184848;-44.110399134327274
313220;38;1;13;-20.418233005657893;-44.491273613413156
313230;15;1;12;-17.400955372335712;-41.670733097728565
313240;785;4;42;-22.409081109125882;-45.438262474175474
313250;100;2;29;-17.86735243083913;-42.8526671552837
313260;15;0;4;-21.417179972114287;-42.814496484921435
313270;63;2;26;-18.072522883123636;-41.63636910385454
313280;9;0;7;-19.416829279044446;-43.321503836788885
313290;32;2;13;-21.07795893123125;-47.04833321801875
313300;58;1;14;-22.28422236643585;-44.8686519216283
313310;138;3;19;-22.296948139662224;-44.93522677399333
313320;31;1;11;-19.175720567813336;-41.85470404512
313330;73;1;27;-16.567173821167692;-41.503122401366156
313340;56;1;10;-19.887513572675925;-49.44190099418519
313350;72;1;17;-20.462908443647144;-45.11774801850285
313360;18;0;7;-22.76945749217647;-46.22153744185883
313370;37;0;9;-20.222782572365713;-44.422408829854284
313375;69;1;12;-20.743341084973437;-46.745518647876565
313380;609;3;45;-20.075416524479504;-44.579793309330746
313390;10;0;3;-20.67070696295;-43.612391788560004
313400;25;0;9;-16.613017810149998;-41.77692398675455
313410;8;0;6;-19.3927321409875;-41.2187912152625
313420;411;6;47;-18.939905259266833;-49.48642585788653
313430;15;0;5;-21.305633937779998;-44.84672693185333
313440;162;4;25;-19.728528671178395;-50.20106495955679
313450;15;1;5;-21.2981026403;-44.65279950085455
313460;57;1;14;-19.505237463972726;-43.75493027101591
313470;29;1;20;-16.163090320137933;-40.29096583901379
313480;23;0;7;-21.018584618425;-46.74233261130625
313490;118;3;18;-22.275284767703063;-46.624739191516326
313500;8;0;3;-19.635444308;-42.74589910464285
313505;67;1;27;-15.322413371670313;-43.69673290118125
313507;5;0;3;-18.460182600000003;-41.8084152
313510;206;5;57;-15.80654147303941;-43.31519622967931
313520;207;2;53;-15.473916192137766;-44.37999686011915
313530;16;0;7;-20.13914619438125;-45.50852537369375
313535;22;0;11;-15.996714958066667;-44.284450012280956
313540;16;1;7;-20.4536242966;-43.830189500653844
313545;18;0;9;-17.087277862964708;-42.25744843339412
313550;51;0;10;-20.455727117624;-42.6515394932
313560;19;0;7;-17.22816061355263;-44.43498306706842
313570;11;0;5;-19.21428527272727;-44.04129627272727
313580;53;1;17;-16.43384519569149;-40.99042351434681
313590;14;0;6;-21.989254026784618;-45.29078660456923
313600;32;1;17;-16.67373026960345;-41.02908191229311
313610;9;0;3;-19.179289355555554;-42.67564245555556
313620;492;2;43;-19.811972567472708;-43.17359660539564
313630;137;3;35;-17.735266100255725;-46.14545062301298
313640;18;1;4;-17.74187335765882;-44.15859489811765
313650;24;1;8;-15.88885351066087;-40.2078515097
313652;12;0;7;-16.89967580181818;-42.62078188862727
313655;10;0;4;-18.229620848133333;-42.49099011881111
313657;5;0;5;-16.546502;-42.51604
313660;9;0;6;-19.6869528011375;-43.5822737420375
313665;87;0;24;-19.945564273480233;-44.342029174019764
313670;2381;25;163;-21.760033769498897;-43.355854213556626
313680;13;1;4;-16.846402740574998;-43.592630079125
313690;37;1;13;-21.24169959224;-46.55491926719143
313695;8;0;5;-14.3091055344;-44.1255616396875
313700;25;1;11;-17.586705761904;-41.696592107644
313710;33;0;9;-18.169936607739285;-46.80376756386786
313720;175;1;32;-20.023500845297633;-45.54290195947929
313730;8;0;5;-16.98293300595;-44.5821332931625
313740;22;0;10;-20.9152018271;-44.07610362143684
313750;90;2;21;-18.775818543060918;-46.40569762844023
313753;25;0;8;-17.759888826086957;-46.46223539130435
313760;274;3;56;-19.629843799850967;-43.89863275494942
313770;42;1;12;-20.19417890421;-41.601543369345
313780;74;1;16;-21.971220570756167;-45.348753582493146
313790;5;0;3;-20.792424439999998;-43.4730792
313800;31;2;10;-21.3603685376;-42.47587116337241
313810;20;0;14;-17.88295862759;-44.597461810505
313820;805;11;89;-21.24317851112285;-44.99829077578986
313830;9;0;5;-19.7165268594;-45.02416197086667
313835;16;0;6;-17.08019790655625;-42.6994869532125
313840;246;1;49;-21.53073820695808;-42.637173961661134
313850;21;1;8;-22.03056050971053;-44.31887913317369
313860;52;1;11;-21.831520788739216;-43.79706475413922
313862;35;0;6;-19.543534387440626;-50.58523074699688
313865;24;0;12;-15.901818780669567;-44.301137528886954
313867;16;0;5;-20.42786638158125;-42.09901933760625
313868;10;0;5;-16.12589648405;-44.59453343883
313870;11;0;4;-21.511797694136362;-44.90412209413636
313880;60;1;18;-19.793282900103776;-45.67838450451887
313890;26;1;8;-17.049474551212;-40.70941344976
313900;247;1;27;-21.678189319327732;-45.92055449579832
313910;9;0;6;-21.48377566478889;-44.32780166846666
313920;44;2;16;-17.8488719474359;-42.08283775958461
313925;13;0;7;-15.0398158046;-42.948309997246156
313930;34;1;22;-14.747840541564706;-43.94444533582647
313940;822;2;63;-20.251108211576607;-42.039169446918436
313950;95;1;18;-20.358147901164443;-41.95956958797556
313960;83;2;28;-18.767352969706096;-40.967386243379266
313970;15;0;9;-19.51428247333333;-44.682497733333335
313980;25;1;7;-21.863074456044;-43.009142970836
313990;61;1;15;-22.308761423524075;-45.371206155575926
314000;264;1;39;-20.377775950768033;-43.42291318527295
314010;8;0;2;-18.50729235;-42.0828819
314015;22;0;17;-20.056021387033333;-44.18302870712857
314020;6;0;4;-21.6982575;-42.95848316666667
314030;5;0;2;-19.70602094672;-42.73614428008
314040;10;0;3;-22.44880500634286;-45.1648019927
314050;49;1;11;-19.349591089248936;-45.22797749711277
314053;17;0;9;-20.25498299669375;-41.8749296381
314055;12;0;3;-15.695467658333333;-40.739067033333335
314060;10;0;4;-18.474229470730002;-43.05825219473
314070;182;2;35;-19.997165389501244;-44.43174320876211
314080;38;1;12;-21.86515216216216;-43.322161756756756
314085;18;0;8;-14.859274017888888;-43.89851720716667
314090;57;1;16;-20.29012568105965;-42.3422616668807
314100;47;2;29;-15.397626361876087;-42.865141267295655
314110;71;1;24;-19.56259521901077;-44.08148439047385
314120;17;0;7;-19.219996527253333;-45.97472632388667
314130;12;0;8;-19.98942498635;-46.227118828500004
314140;37;1;18;-16.231428980997144;-41.48477606754857
314150;13;1;7;-18.660716076984617;-41.405056825753846
314160;36;1;13;-21.19607048463611;-43.34046747309444
314170;10;0;7;-19.227277352033333;-42.6158930363
314180;67;1;18;-17.23861281813582;-42.53493056512537
314190;13;1;8;-21.680074790115384;-44.603703244015385
314200;29;1;18;-16.247884155466668;-44.16864348464815
314210;28;1;11;-20.8831227745;-42.3552619936125
314220;46;1;11;-21.19187347376087;-42.612288720884784
314225;16;0;9;-14.75284029060625;-44.3989034803125
314230;8;0;5;-20.2916535368125;-44.036713551825
314240;25;1;9;-19.84643126179167;-45.40486658943333
314250;7;0;3;-18.321981612214284;-44.1157974532
314260;27;1;9;-21.74331861788077;-45.52772033641923
314270;22;1;13;-14.43160867195;-44.393387460622726
314280;21;1;14;-18.868667013590475;-48.87695030013809
314290;53;1;25;-15.173391733886001;-42.896123793466
314300;45;1;14;-21.32079028038;-46.362432896744444
314310;131;3;30;-18.72892124341322;-47.49648439299421
314315;10;0;5;-16.8656913180625;-41.2554404738125
314320;68;1;18;-21.19741767028154;-46.97846179752308
314330;1254;16;220;-16.72426537405847;-43.865884234060786
314340;91;0;11;-22.432497589425882;-46.5729091934647
314345;16;0;7;-15.18051960938125;-42.517497589675
314350;25;1;12;-18.638486443172727;-45.35314376616818
314360;4;0;2;-18.5614203975;-44.610047934275
314370;9;1;6;-19.20579369282857;-43.35641811478571
314380;9;0;4;-22.61586256591111;-46.347411374766665
314390;400;8;83;-21.132184441742105;-42.371116588362895
314400;62;2;23;-19.847621785645902;-41.44697782360656
314410;84;1;11;-21.370153450603897;-46.522478844972724
314420;6;0;4;-18.456982062916666;-42.249746918683336
314430;139;2;28;-17.842351021845904;-40.35096882096148
314435;18;0;11;-19.225160094517648;-42.330332480994116
314437;3;0;3;-16.506249266666668;-46.49588120000001
314440;12;0;7;-22.318376836758333;-45.442907633366666
314450;29;1;8;-21.211678317068;-44.612446963284
314460;60;1;19;-21.23227484716981;-45.23784729622642
